packed_regions
region=72 dx=325 dy=-364 x=679.25 y=20.49 w=33 h=57 rot=False alias=68
region=73 dx=-175 dy=12 x=313.28 y=297.27 w=60 h=46 rot=False alias=46
region=74 dx=402 dy=104 x=452.64 y=485.89 w=52 h=33 rot=False alias=95
region=75 dx=143 dy=88 x=482.86 y=256.87 w=57 h=40 rot=False alias=59
region=76 dx=0 dy=-97 x=591.05 y=253.35 w=41 h=45 rot=False alias=43
region=77 dx=448 dy=-175 x=559.53 y=190.06 w=50 h=42 rot=False alias=119
region=78 dx=45 dy=1 x=539.17 y=253.75 w=52 h=42 rot=False alias=4
region=79 dx=144 dy=-115 x=388.17 y=114.26 w=58 h=46 rot=False alias=63
region=80 dx=-199 dy=-28 x=95.22 y=141.05 w=85 h=41 rot=False alias=30
region=81 dx=-147 dy=57 x=210.57 y=485.78 w=53 h=32 rot=False alias=48
region=82 dx=46 dy=98 x=448.89 y=387.97 w=53 h=45 rot=False alias=12
region=83 dx=37 dy=-46 x=557.07 y=378.43 w=49 h=34 rot=False alias=33
region=84 dx=207 dy=-240 x=447.37 y=62.38 w=57 h=44 rot=False alias=6
region=85 dx=119 dy=-38 x=661.85 y=366.33 w=51 h=33 rot=False alias=65
region=86 dx=113 dy=-279 x=550.77 y=102.70 w=43 h=49 rot=False alias=69
region=87 dx=441 dy=-361 x=624.35 y=20.14 w=52 h=39 rot=False alias=80
region=88 dx=542 dy=-89 x=632.94 y=293.74 w=46 h=39 rot=False alias=13
region=89 dx=39 dy=170 x=502.45 y=432.83 w=46 h=32 rot=False alias=19
region=90 dx=-167 dy=-22 x=85.08 y=205.73 w=72 h=49 rot=False alias=87
region=91 dx=78 dy=-298 x=565.63 y=151.36 w=59 h=35 rot=False alias=73
region=92 dx=174 dy=12 x=609.92 y=210.24 w=45 h=42 rot=False alias=16
region=93 dx=385 dy=-307 x=624.77 y=59.88 w=53 h=38 rot=False alias=17
region=94 dx=455 dy=-9 x=615.59 y=374.28 w=44 h=38 rot=False alias=53
region=95 dx=418 dy=-189 x=624.56 y=175.94 w=53 h=36 rot=False alias=41
region=96 dx=-217 dy=-134 x=180.89 y=142.01 w=43 h=39 rot=False alias=77
region=97 dx=-34 dy=-75 x=429.62 y=340.43 w=50 h=48 rot=False alias=117
region=98 dx=12 dy=-12 x=549.80 y=433.16 w=35 h=41 rot=False alias=37
region=99 dx=203 dy=86 x=608.81 y=411.84 w=37 h=36 rot=False alias=27
region=100 dx=87 dy=5 x=619.71 y=331.02 w=42 h=42 rot=False alias=90
region=101 dx=578 dy=28 x=659.65 y=398.50 w=51 h=29 rot=False alias=70
region=102 dx=21 dy=-243 x=634.56 y=141.97 w=57 h=34 rot=False alias=56
region=103 dx=112 dy=-250 x=508.11 y=102.19 w=42 h=51 rot=False alias=103
region=104 dx=-116 dy=-245 x=224.38 y=202.25 w=39 h=28 rot=False alias=47
region=105 dx=252 dy=50 x=549.92 y=473.97 w=33 h=43 rot=False alias=24
region=106 dx=63 dy=-214 x=679.33 y=77.52 w=37 h=48 rot=False alias=96
region=107 dx=128 dy=50 x=504.00 y=464.26 w=45 h=32 rot=False alias=112
region=108 dx=17 dy=71 x=573.75 y=297.80 w=46 h=39 rot=False alias=101
region=109 dx=13 dy=-98 x=573.68 y=337.23 w=42 h=41 rot=False alias=58
region=110 dx=360 dy=-97 x=661.19 y=332.78 w=51 h=34 rot=False alias=57
region=111 dx=121 dy=-135 x=429.01 y=309.22 w=40 h=31 rot=False alias=51
region=112 dx=-61 dy=-332 x=594.32 y=20.31 w=31 h=51 rot=False alias=71
region=113 dx=337 dy=-241 x=555.69 y=20.08 w=38 h=54 rot=False alias=20
region=114 dx=288 dy=-133 x=678.83 y=293.04 w=39 h=38 rot=False alias=21
region=115 dx=-132 dy=-369 x=525.20 y=20.56 w=30 h=29 rot=False alias=79
region=116 dx=347 dy=-252 x=677.89 y=175.57 w=40 h=35 rot=False alias=61
region=117 dx=291 dy=43 x=584.33 y=427.42 w=24 h=57 rot=False alias=52
region=118 dx=83 dy=306 x=582.11 y=484.42 w=42 h=32 rot=False alias=97
region=119 dx=383 dy=65 x=608.42 y=447.50 w=34 h=30 rot=False alias=28
packed_visible=120 overflow=0
packed_placed=120 packed_unplaced=0 placed_area=301821 bin_area=397782
gap_fill rectpack_placed=120 gap_right_added=0 gap_bottom_added=0 remaining_after_gap=0 total_placed=120
