packed_regions
region=72 dx=32 dy=-97 x=638.24 y=113.92 w=38 h=30 rot=False alias=54
region=73 dx=407 dy=-118 x=596.09 y=78.17 w=38 h=35 rot=False alias=29
region=74 dx=-387 dy=-146 x=40.98 y=41.40 w=66 h=137 rot=False alias=76
region=75 dx=163 dy=-271 x=303.67 y=94.09 w=52 h=55 rot=False alias=41
region=76 dx=154 dy=32 x=290.64 y=471.17 w=51 h=26 rot=False alias=30
region=77 dx=49 dy=48 x=506.34 y=275.19 w=32 h=34 rot=False alias=97
region=78 dx=455 dy=-75 x=585.11 y=114.00 w=23 h=44 rot=False alias=17
region=79 dx=-61 dy=-133 x=495.45 y=80.05 w=73 h=26 rot=False alias=15
region=80 dx=368 dy=-5 x=541.22 y=223.21 w=40 h=38 rot=False alias=71
region=81 dx=-267 dy=-112 x=122.53 y=219.43 w=160 h=22 rot=False alias=49
region=82 dx=471 dy=-247 x=638.22 y=143.71 w=32 h=31 rot=False alias=46
region=83 dx=422 dy=-1 x=638.04 y=174.69 w=32 h=30 rot=False alias=83
region=84 dx=106 dy=-154 x=585.17 y=157.95 w=33 h=29 rot=False alias=33
region=85 dx=398 dy=-176 x=581.37 y=186.42 w=31 h=28 rot=False alias=52
region=86 dx=164 dy=-64 x=612.50 y=186.53 w=25 h=28 rot=False alias=77
region=87 dx=187 dy=144 x=345.05 y=383.65 w=40 h=26 rot=False alias=20
region=88 dx=-30 dy=-61 x=157.12 y=299.59 w=35 h=28 rot=False alias=81
region=89 dx=182 dy=-1 x=498.24 y=265.57 w=140 h=11 rot=False alias=40
region=90 dx=467 dy=-117 x=670.34 y=182.12 w=25 h=23 rot=False alias=47
region=91 dx=125 dy=29 x=328.39 y=247.90 w=25 h=23 rot=False alias=50
region=92 dx=206 dy=79 x=389.51 y=348.56 w=19 h=111 rot=False alias=21
region=93 dx=-251 dy=105 x=306.41 y=325.19 w=39 h=15 rot=False alias=43
region=94 dx=-59 dy=-176 x=471.14 y=41.32 w=24 h=16 rot=False alias=58
region=95 dx=69 dy=-236 x=676.57 y=76.80 w=21 h=15 rot=False alias=7
region=96 dx=54 dy=-221 x=676.68 y=91.84 w=21 h=12 rot=False alias=3
region=97 dx=-40 dy=121 x=455.37 y=435.73 w=22 h=17 rot=False alias=16
packed_visible=98 overflow=0
packed_placed=98 packed_unplaced=0 placed_area=231013 bin_area=397782
gap_fill rectpack_placed=98 gap_right_added=0 gap_bottom_added=0 remaining_after_gap=0 total_placed=98
